CNT,YEAR,gap_recomputed,avg_math_recomputed,avg_read_recomputed,avg_science_recomputed,avg_escs_recomputed,n_students_recomputed,q25_escs,q75_escs
CAN,2009,61.8424199444064,547.6481821161537,536.7342257610748,540.5031432664794,120.72030829907101,1971,0.075,1.195459845975183
CAN,2012,49.30405084373501,537.3616829147687,539.7786410671265,537.159426551797,172.74319425530598,1953,0.0,1.19
CAN,2015,64.11124074807441,538.8004972687389,541.1034159410583,543.1113663975848,0.6609387802444718,1953,0.19634884765182836,1.1569024991360988
CAN,2018,58.42595233985452,530.3999157806184,529.9762275381255,528.9409121220084,0.463366693596759,1962,-0.07956264659155918,1.0209088560076018
CAN,2022,61.54196180928278,523.642264530524,523.8890215829861,531.730460772449,0.4842301812268535,1973,0.032572564433662285,0.9957067168429021
CHE,2009,83.91658253671028,532.4131908007297,500.72117222818486,517.3447517362916,52.594706304661166,1915,-0.4742,0.8377643059756632
CHE,2012,60.29689426111412,529.6298978636554,511.238415556079,516.1442579595852,152.50481832158346,1904,-0.3,1.0247572314450415
CHE,2015,77.86622597924054,521.9288515957081,493.20747650440217,507.0956481001013,0.18938212570575172,1828,-0.45905083876004693,0.9692711403253816
CHE,2018,82.1717977202415,516.2523285811676,485.6331892431504,496.3847475357789,0.0486413461117667,1830,-0.5595490454139455,0.7861266095789908
CHE,2022,114.24714653649141,507.03469758668774,483.27416566446067,501.5904152371739,0.20160457833155826,1853,-0.41791449879609954,0.9337260169059577
CHL,2009,83.1790733182496,427.2303282868833,454.92340522774646,452.9291273433882,182.43223998940667,1905,-1.2611,0.44015064544259985
CHL,2012,69.56771965063808,426.5164468098992,445.29534893710587,449.117364917594,315.9467251214184,1937,-1.24,0.48870563813897666
CHL,2015,78.98858346878507,429.0751202390003,463.9643315054733,452.13675645293404,-0.31657873636298994,1858,-1.119886762834724,0.640877501940816
CHL,2018,79.80873907643036,419.35256452499914,455.7452164377327,446.5703685371789,-0.4604148296155481,1902,-1.2130680360561226,0.3629786367139868
CHL,2022,63.672132831711394,412.4349012133147,449.6323483205569,444.0294419721643,-0.37817946978870487,1843,-1.0822855313138053,0.3722785061983808
COL,2009,82.47990668972858,391.9894024977766,429.20758518890983,416.27011128710535,25.910468886575803,1889,-1.6883,-0.05444814565035132
COL,2012,75.76886356777146,383.62510782452836,414.13409870663344,404.20077917226445,54.83447580244164,1913,-1.92,-0.31
